alder,utdanning,erfaring,jobb,sted,fag,kolleger,lønn,bonus,fornøyd
36-40,3,4,"in-house, privat sektor",Vestfold og Telemark,fullstack,100 - 500,580000,Nei,Nei
21-25,3,3,konsulent,Møre og Romsdal,fullstack,50 - 100,580000,Nei,Ja
26-30,3,1,"in-house, offentlig/kommunal sektor",Troms og Finnmark,fullstack,50 - 100,580000,Nei,Ja
26-30,2,0,konsulent,Agder,frontend,10 - 50,585000,Nei,Ja
26-30,4,0,konsulent,Oslo,fullstack,100 - 500,585000,Nei,Nei
21-25,3,1,konsulent,Oslo,fullstack,500 - 1.000,585000,Nei,Ja
26-30,3,0,konsulent,Oslo,backend,500 - 1.000,585000,Nei,Nei
26-30,1,6,"in-house, privat sektor",Viken,backend,under 10,585400,Nei,Nei
46-50,3,2,"in-house, privat sektor",Møre og Romsdal,backend,1.000 - 10.000,587000,Nei,Ja
26-30,3,1,konsulent,Oslo,app,1.000 - 10.000,590000,Nei,Nei
26-30,3,1,"in-house, offentlig/kommunal sektor",Oslo,frontend,100 - 500,590000,Nei,Ja
31-35,3,7,"in-house, offentlig/kommunal sektor",Troms og Finnmark,backend,100 - 500,590000,Ja,Nei
31-35,3,2,"in-house, offentlig/kommunal sektor",Troms og Finnmark,fullstack,100 - 500,590000,Nei,Nei
21-25,3,1,"in-house, privat sektor",Oslo,app,50 - 100,590000,Nei,Nei
26-30,6,1,konsulent,Oslo,backend,over 10.000,590000,Nei,Nei
26-30,3,4,"in-house, offentlig/kommunal sektor",Oslo,fullstack,500 - 1.000,593600,Nei,Nei
26-30,5,0,konsulent,Agder,automatisering,1.000 - 10.000,595000,Nei,Ja
26-30,3,2,"in-house, offentlig/kommunal sektor",Oslo,frontend,1.000 - 10.000,595000,Nei,Nei
21-25,5,1,konsulent,Oslo,frontend,100 - 500,595000,Nei,Nei
26-30,5,2,"in-house, privat sektor",Agder,frontend,100 - 500,595000,Ja,Ja
26-30,5,1,konsulent,Oslo,fullstack,50 - 100,595000,Nei,Ja
21-25,3,0,konsulent,Oslo,frontend,100 - 500,596000,Nei,Ja
36-40,1,3,"in-house, offentlig/kommunal sektor",Oslo,backend,over 10.000,596000,Ja,Nei
21-25,3,2,"in-house, privat sektor",Oslo,frontend,100 - 500,597000,Nei,Nei
26-30,5,2,konsulent,Oslo,fullstack,over 10.000,597000,Nei,Nei
26-30,3,1,konsulent,Oslo,backend,over 10.000,598500,Ja,Nei
21-25,5,0,konsulent,Trøndelag,data science,1.000 - 10.000,600000,Nei,Ja
21-25,5,0,konsulent,Oslo,frontend,1.000 - 10.000,600000,Ja,Ja
21-25,2,1,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,600000,Nei,Ja
21-25,3,1,konsulent,Oslo,fullstack,1.000 - 10.000,600000,Ja,Nei
26-30,3,4,konsulent,Viken,backend,1.000 - 10.000,600000,Nei,Ja
26-30,5,1,konsulent,Vestland,backend,1.000 - 10.000,600000,Ja,Nei
26-30,3,4,konsulent,Oslo,frontend,1.000 - 10.000,600000,Nei,Nei
26-30,5,1,konsulent,Viken,fullstack,1.000 - 10.000,600000,Ja,Nei
26-30,3,3,"in-house, privat sektor",Rogaland,fullstack,1.000 - 10.000,600000,Nei,Ja
31-35,5,11,"in-house, offentlig/kommunal sektor",Nordland,frontend,1.000 - 10.000,600000,Nei,Ja
31-35,3,0,"in-house, privat sektor",Trøndelag,fullstack,1.000 - 10.000,600000,Nei,Ja
31-35,5,2,"in-house, privat sektor",Oslo,fullstack,1.000 - 10.000,600000,Nei,Nei
31-35,5,2,"in-house, privat sektor",Innlandet,fullstack,1.000 - 10.000,600000,Nei,Ja
31-35,5,8,"in-house, offentlig/kommunal sektor",Vestfold og Telemark,ingen av disse,1.000 - 10.000,600000,Nei,Nei
31-35,3,8,"in-house, offentlig/kommunal sektor",Viken,ingen av disse,1.000 - 10.000,600000,Nei,Ja
31-35,5,10,"in-house, offentlig/kommunal sektor",Viken,ingen av disse,1.000 - 10.000,600000,Ja,Nei
36-40,0,20,konsulent,Oslo,ingen av disse,1.000 - 10.000,600000,Nei,Nei
41-45,3,10,"in-house, privat sektor",Nordland,fullstack,1.000 - 10.000,600000,Nei,Nei
41-45,9,9,"in-house, offentlig/kommunal sektor",Oslo,programvare,1.000 - 10.000,600000,Nei,Nei
21-25,3,0,konsulent,Oslo,arkitektur,10 - 50,600000,Ja,Ja
21-25,3,2,"in-house, privat sektor",Agder,frontend,10 - 50,600000,Ja,Ja
26-30,2,4,konsulent,Oslo,frontend,10 - 50,600000,Nei,Ja
26-30,3,3,"in-house, privat sektor",Viken,frontend,10 - 50,600000,Nei,Ja
26-30,,4,"in-house, privat sektor",Vestfold og Telemark,frontend,10 - 50,600000,Ja,Ja
26-30,3,2,konsulent,Innlandet,fullstack,10 - 50,600000,Ja,Ja
26-30,5,0,"in-house, privat sektor",Rogaland,fullstack,10 - 50,600000,Nei,Ja
26-30,3,1,"in-house, privat sektor",Vestfold og Telemark,fullstack,10 - 50,600000,Nei,Nei
36-40,1,1,"in-house, privat sektor",Oslo,frontend,10 - 50,600000,Nei,Ja
41-45,4,4,"in-house, privat sektor",Viken,backend,10 - 50,600000,Nei,Ja
46-50,3,5,"in-house, privat sektor",Innlandet,backend,10 - 50,600000,Nei,Ja
21-25,3,0,"in-house, privat sektor",Nordland,backend,100 - 500,600000,Nei,Ja
21-25,3,2,"in-house, privat sektor",Vestfold og Telemark,backend,100 - 500,600000,Nei,Nei
21-25,3,1,"in-house, privat sektor",Oslo,backend,100 - 500,600000,Nei,Ja
21-25,3,2,"in-house, privat sektor",Trøndelag,backend,100 - 500,600000,Nei,Ja
21-25,2,2,"in-house, privat sektor",Oslo,fullstack,100 - 500,600000,Ja,Ja
21-25,3,0,konsulent,Oslo,fullstack,100 - 500,600000,Ja,Ja
26-30,5,1,"in-house, offentlig/kommunal sektor",Oslo,backend,100 - 500,600000,Nei,Nei
26-30,6,2,"in-house, privat sektor",Oslo,frontend,100 - 500,600000,Nei,Nei
26-30,0,0,"in-house, privat sektor",Oslo,frontend,100 - 500,600000,Nei,Ja
26-30,0,2,"in-house, privat sektor",Oslo,frontend,100 - 500,600000,Nei,Ja
26-30,3,4,"in-house, offentlig/kommunal sektor",Nordland,fullstack,100 - 500,600000,Nei,Ja
26-30,3,2,konsulent,Oslo,fullstack,100 - 500,600000,Ja,Nei
26-30,3,5,"in-house, privat sektor",Nordland,fullstack,100 - 500,600000,Nei,Ja
26-30,3,12,konsulent,Vestfold og Telemark,sikkerhet,100 - 500,600000,Nei,Nei
31-35,3,4,"in-house, privat sektor",Vestland,fullstack,100 - 500,600000,Ja,Nei
31-35,,11,"in-house, privat sektor",Vestland,ledelse/administrativt,100 - 500,600000,Ja,Nei
36-40,2,3,"in-house, privat sektor",Oslo,app,100 - 500,600000,Nei,Nei
36-40,3,0,"in-house, privat sektor",Nordland,backend,100 - 500,600000,Ja,Ja
41-45,3,3,"in-house, privat sektor",Oslo,fullstack,100 - 500,600000,Ja,Nei
21-25,5,1,konsulent,Agder,data science,50 - 100,600000,Nei,Ja
26-30,5,2,"in-house, privat sektor",Vestland,backend,50 - 100,600000,Nei,Nei
26-30,5,2,"in-house, privat sektor",Innlandet,databaser,50 - 100,600000,Nei,Nei
21-25,5,0,konsulent,Rogaland,ingen av disse,500 - 1.000,600000,Ja,Ja
26-30,5,4,konsulent,Møre og Romsdal,frontend,500 - 1.000,600000,Nei,Nei
26-30,3,0,"in-house, offentlig/kommunal sektor",Oslo,fullstack,500 - 1.000,600000,Nei,Ja
26-30,3,0,"in-house, offentlig/kommunal sektor",Trøndelag,fullstack,500 - 1.000,600000,Nei,Ja
31-35,3,3,"in-house, privat sektor",Oslo,programvare,500 - 1.000,600000,Nei,Nei
36-40,3,15,"in-house, privat sektor",Rogaland,ingen av disse,500 - 1.000,600000,Nei,Nei
56-60,8,36,"in-house, privat sektor",Vestfold og Telemark,ingen av disse,500 - 1.000,600000,Nei,Nei
36-40,5,8,"in-house, offentlig/kommunal sektor",Vestland,ingen av disse,over 10.000,600000,Nei,Nei
26-30,3,1,"in-house, privat sektor",Troms og Finnmark,frontend,under 10,600000,Nei,Nei
26-30,3,4,"in-house, privat sektor",Vestland,frontend,under 10,600000,Nei,Nei
26-30,0,5,"in-house, privat sektor",Vestfold og Telemark,fullstack,under 10,600000,Ja,Nei
26-30,3,2,frilans / selvstendig næringsdrivende,Oslo,fullstack,under 10,600000,Nei,Ja
26-30,3,2,konsulent,Viken,fullstack,under 10,600000,Nei,Ja
26-30,5,3,"in-house, privat sektor",Oslo,fullstack,under 10,600000,Nei,Nei
26-30,2,5,"in-house, privat sektor",Trøndelag,UX / design,under 10,600000,Nei,Nei
31-35,4,1,"in-house, privat sektor",Nordland,embedded/IOT/maskinvare,under 10,600000,Nei,Ja
41-45,0,15,konsulent,Oslo,fullstack,under 10,600000,Nei,Nei
31-35,3,4,"in-house, offentlig/kommunal sektor",Trøndelag,fullstack,50 - 100,600500,Nei,Nei
51-55,3,20,"in-house, offentlig/kommunal sektor",Troms og Finnmark,ingen av disse,50 - 100,603000,Nei,Nei
31-35,4,10,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,604000,Nei,Nei
26-30,3,3,"in-house, offentlig/kommunal sektor",Oslo,fullstack,over 10.000,604400,Nei,Nei
26-30,3,1,konsulent,Oslo,fullstack,1.000 - 10.000,605000,Nei,Ja
26-30,3,3,konsulent,Trøndelag,sikkerhet,1.000 - 10.000,605000,Nei,Nei
36-40,3,11,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,605000,Nei,Nei
21-25,5,0,"in-house, privat sektor",Oslo,fullstack,50 - 100,605000,Nei,Ja
26-30,3,3,"in-house, offentlig/kommunal sektor",Oslo,programvare,500 - 1.000,605000,Nei,Nei
26-30,3,3,konsulent,Oslo,devops,over 10.000,605000,Ja,Nei
26-30,5,1,"in-house, privat sektor",Oslo,testing,500 - 1.000,606000,Nei,Ja
21-25,5,0,"in-house, privat sektor",Viken,backend,1.000 - 10.000,610000,Nei,Ja
21-25,3,1,"in-house, offentlig/kommunal sektor",Oslo,testing,10 - 50,610000,Nei,Ja
26-30,4,4,"in-house, privat sektor",Vestfold og Telemark,arkitektur,10 - 50,610000,Nei,Nei
31-35,0,5,"in-house, privat sektor",Viken,fullstack,10 - 50,610000,Ja,Nei
41-45,0,3,"in-house, privat sektor",Oslo,backend,10 - 50,610000,Nei,Ja
26-30,5,2,konsulent,Oslo,data science,100 - 500,610000,Nei,Nei
26-30,2,1,"in-house, privat sektor",Oslo,frontend,100 - 500,610000,Ja,Nei
26-30,5,1,"in-house, privat sektor",Agder,UX / design,100 - 500,610000,Nei,Ja
31-35,6,4,"in-house, privat sektor",Oslo,data science,100 - 500,610000,Nei,Nei
21-25,5,0,konsulent,Oslo,backend,500 - 1.000,610000,Nei,Nei
26-30,5,0,konsulent,Oslo,fullstack,500 - 1.000,610000,Nei,Nei
26-30,3,3,"in-house, offentlig/kommunal sektor",Troms og Finnmark,fullstack,500 - 1.000,610000,Nei,Nei
26-30,5,0,konsulent,Oslo,UX / design,500 - 1.000,610000,Ja,Ja
21-25,0,2,"in-house, privat sektor",Oslo,fullstack,over 10.000,610000,Ja,Ja
26-30,3,4,"in-house, privat sektor",Møre og Romsdal,fullstack,over 10.000,610000,Nei,Nei
36-40,0,20,"in-house, privat sektor",Vestland,ingen av disse,10 - 50,611000,Nei,Ja
31-35,3,1,"in-house, offentlig/kommunal sektor",Oslo,data science,100 - 500,613100,Ja,Nei
26-30,5,1,konsulent,Oslo,backend,1.000 - 10.000,614000,Nei,Ja
21-25,3,3,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,615000,Nei,Ja
21-25,5,1,konsulent,Trøndelag,fullstack,10 - 50,615000,Nei,Ja
21-25,5,3,konsulent,Trøndelag,fullstack,10 - 50,615000,Nei,Nei
26-30,3,4,"in-house, privat sektor",Innlandet,fullstack,10 - 50,615000,Nei,Ja
21-25,2,7,"in-house, privat sektor",Vestland,fullstack,100 - 500,615000,Nei,Nei
26-30,5,2,"in-house, offentlig/kommunal sektor",Oslo,backend,100 - 500,615000,Nei,Nei
26-30,5,1,konsulent,Oslo,fullstack,100 - 500,615000,Nei,Ja
46-50,6,18,"in-house, offentlig/kommunal sektor",Viken,ingen av disse,50 - 100,615000,Nei,Nei
21-25,3,25,"in-house, privat sektor",Oslo,backend,1.000 - 10.000,620000,Nei,Nei
26-30,5,4,"in-house, privat sektor",Møre og Romsdal,embedded/IOT/maskinvare,1.000 - 10.000,620000,Ja,Nei
26-30,3,3,konsulent,Oslo,fullstack,1.000 - 10.000,620000,Nei,Nei
26-30,0,4,"in-house, privat sektor",Rogaland,fullstack,1.000 - 10.000,620000,Nei,Nei
36-40,3,2,"in-house, privat sektor",Vestland,frontend,10 - 50,620000,Ja,Ja
21-25,5,2,konsulent,Oslo,frontend,100 - 500,620000,Nei,Nei
26-30,4,2,konsulent,Oslo,backend,100 - 500,620000,Nei,Ja
26-30,2,2,"in-house, offentlig/kommunal sektor",Oslo,fullstack,100 - 500,620000,Nei,Ja
31-35,5,0,"in-house, privat sektor",Oslo,data science,100 - 500,620000,Nei,Ja
31-35,6,6,"in-house, offentlig/kommunal sektor",Trøndelag,fullstack,100 - 500,620000,Nei,Nei
41-45,1,10,"in-house, privat sektor",Oslo,UX / design,100 - 500,620000,Nei,Nei
31-35,3,5,"in-house, privat sektor",Agder,backend,50 - 100,620000,Nei,Nei
31-35,4,4,konsulent,Viken,embedded/IOT/maskinvare,50 - 100,620000,Ja,Ja
41-45,,,"in-house, privat sektor",Oslo,ingen av disse,50 - 100,620000,Nei,Nei
21-25,3,0,"in-house, offentlig/kommunal sektor",Oslo,frontend,500 - 1.000,620000,Nei,Ja
31-35,3,2,konsulent,Rogaland,data science,500 - 1.000,620000,Ja,Nei
41-45,0,13,"in-house, offentlig/kommunal sektor",Oslo,arkitektur,500 - 1.000,620000,Nei,Nei
21-25,3,1,"in-house, privat sektor",Vestland,backend,over 10.000,620000,Ja,Ja
21-25,5,0,"in-house, privat sektor",Viken,programvare,over 10.000,620000,Nei,Ja
26-30,3,2,konsulent,Vestland,devops,over 10.000,620000,Nei,Nei
31-35,3,3,konsulent,Agder,backend,over 10.000,620000,Nei,Nei
21-25,3,2,konsulent,Viken,frontend,under 10,620000,Nei,Nei
31-35,3,1,"in-house, privat sektor",Oslo,frontend,under 10,620000,Nei,Nei
46-50,7,18,"in-house, offentlig/kommunal sektor",Oslo,ledelse/administrativt,under 10,620000,Ja,Nei
36-40,3,4,"in-house, offentlig/kommunal sektor",Troms og Finnmark,backend,10 - 50,622700,Nei,Nei
31-35,3,1,"in-house, privat sektor",Oslo,app,1.000 - 10.000,624000,Nei,Nei
21-25,5,1,konsulent,Oslo,fullstack,100 - 500,624900,Nei,Ja
26-30,7,1,"in-house, privat sektor",Trøndelag,programvare,1.000 - 10.000,625000,Nei,Ja
21-25,3,3,"in-house, privat sektor",Agder,fullstack,10 - 50,625000,Nei,Ja
26-30,3,1,konsulent,Oslo,backend,100 - 500,625000,Nei,Ja
26-30,3,1,"in-house, privat sektor",Oslo,frontend,100 - 500,625000,Nei,Ja
26-30,5,1,"in-house, privat sektor",Viken,data science,over 10.000,625000,Nei,Ja
31-35,2,2,"in-house, privat sektor",Vestfold og Telemark,frontend,under 10,625000,Nei,Ja
31-35,1,3,"in-house, privat sektor",Møre og Romsdal,fullstack,10 - 50,626000,Ja,Ja
26-30,3,4,"in-house, offentlig/kommunal sektor",Oslo,fullstack,over 10.000,626000,Nei,Nei
21-25,3,2,"in-house, offentlig/kommunal sektor",Oslo,app,1.000 - 10.000,627000,Ja,Nei
26-30,3,2,"in-house, privat sektor",Vestland,fullstack,10 - 50,627000,Nei,Nei
21-25,5,1,"in-house, privat sektor",Oslo,fullstack,100 - 500,627000,Nei,Ja
26-30,5,2,"in-house, privat sektor",Troms og Finnmark,data science,100 - 500,627000,Nei,Nei
26-30,5,1,konsulent,Oslo,frontend,100 - 500,628000,Ja,Nei
31-35,3,5,konsulent,Rogaland,ledelse/administrativt,50 - 100,629000,Nei,Nei
26-30,0,3,"in-house, privat sektor",Møre og Romsdal,backend,1.000 - 10.000,630000,Nei,Ja
26-30,5,2,konsulent,Vestland,backend,1.000 - 10.000,630000,Nei,Nei
26-30,5,0,konsulent,Oslo,frontend,1.000 - 10.000,630000,Nei,Ja
26-30,5,1,"in-house, privat sektor",Rogaland,frontend,1.000 - 10.000,630000,Nei,Nei
26-30,3,3,konsulent,Oslo,frontend,1.000 - 10.000,630000,Nei,Nei
26-30,3,0,konsulent,Oslo,fullstack,1.000 - 10.000,630000,Ja,Ja
26-30,4,1,konsulent,Rogaland,fullstack,1.000 - 10.000,630000,Ja,Ja
26-30,3,3,"in-house, privat sektor",Oslo,fullstack,1.000 - 10.000,630000,Ja,Nei
26-30,,3,konsulent,Rogaland,fullstack,1.000 - 10.000,630000,Nei,Nei
26-30,3,3,konsulent,Oslo,programvare,1.000 - 10.000,630000,Nei,Nei
31-35,5,0,konsulent,Vestland,frontend,1.000 - 10.000,630000,Ja,Ja
21-25,4,6,konsulent,Rogaland,frontend,10 - 50,630000,Ja,Ja
21-25,2,3,"in-house, privat sektor",Rogaland,fullstack,10 - 50,630000,Nei,Nei
26-30,5,3,konsulent,Agder,fullstack,10 - 50,630000,Nei,Ja
31-35,0,7,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,630000,Nei,Ja
21-25,2,4,"in-house, offentlig/kommunal sektor",Oslo,app,100 - 500,630000,Nei,Ja
21-25,3,2,"in-house, privat sektor",Oslo,data science,100 - 500,630000,Nei,Ja
21-25,5,1,konsulent,Oslo,fullstack,100 - 500,630000,Nei,Nei
21-25,5,2,"in-house, offentlig/kommunal sektor",Oslo,UX / design,100 - 500,630000,Nei,Ja
26-30,5,4,konsulent,Oslo,frontend,100 - 500,630000,Ja,Nei
26-30,5,1,konsulent,Oslo,fullstack,100 - 500,630000,Nei,Nei
31-35,3,5,"in-house, offentlig/kommunal sektor",Troms og Finnmark,devops,100 - 500,630000,Nei,Nei
31-35,3,4,"in-house, privat sektor",Troms og Finnmark,fullstack,100 - 500,630000,Nei,Nei
36-40,3,12,"in-house, privat sektor",Oslo,fullstack,100 - 500,630000,Nei,Nei
21-25,5,0,konsulent,Oslo,backend,50 - 100,630000,Nei,Ja
21-25,3,1,"in-house, offentlig/kommunal sektor",Oslo,app,500 - 1.000,630000,Nei,Nei
21-25,6,1,konsulent,Oslo,app,500 - 1.000,630000,Nei,Ja
21-25,5,0,konsulent,Oslo,fullstack,500 - 1.000,630000,Nei,Nei
21-25,5,1,konsulent,Oslo,fullstack,500 - 1.000,630000,Nei,Nei
26-30,5,5,"in-house, offentlig/kommunal sektor",Viken,sikkerhet,500 - 1.000,630000,Nei,Nei
31-35,2,0,"in-house, offentlig/kommunal sektor",Oslo,frontend,500 - 1.000,630000,Nei,Ja
31-35,4,5,"in-house, offentlig/kommunal sektor",Trøndelag,ledelse/administrativt,500 - 1.000,630000,Nei,Nei
21-25,3,2,konsulent,Trøndelag,fullstack,over 10.000,630000,Nei,Nei
26-30,5,2,konsulent,Trøndelag,fullstack,over 10.000,630000,Nei,Nei
26-30,5,2,"in-house, privat sektor",Oslo,programvare,over 10.000,630000,Ja,Ja
31-35,2,3,"in-house, privat sektor",Innlandet,backend,100 - 500,633000,Nei,Nei
31-35,4,3,"in-house, offentlig/kommunal sektor",Oslo,data science,1.000 - 10.000,634000,Nei,Nei
21-25,3,0,konsulent,Oslo,fullstack,100 - 500,634000,Nei,Ja
26-30,5,2,konsulent,Vestland,backend,1.000 - 10.000,635000,Ja,Nei
36-40,3,2,konsulent,Vestland,devops,1.000 - 10.000,635000,Nei,Nei
41-45,3,18,"in-house, privat sektor",Oslo,UX / design,50 - 100,635000,Nei,Nei
21-25,5,1,konsulent,Trøndelag,fullstack,1.000 - 10.000,636000,Nei,Nei
31-35,3,6,"in-house, privat sektor",Oslo,frontend,10 - 50,636000,Nei,Ja
26-30,3,5,"in-house, privat sektor",Vestfold og Telemark,fullstack,10 - 50,639000,Ja,Nei
26-30,5,2,konsulent,Vestland,backend,1.000 - 10.000,640000,Ja,Nei
31-35,2,0,"in-house, privat sektor",Agder,frontend,1.000 - 10.000,640000,Nei,Ja
31-35,3,2,konsulent,Oslo,fullstack,1.000 - 10.000,640000,Nei,Ja
36-40,0,2,"in-house, privat sektor",Vestland,frontend,1.000 - 10.000,640000,Ja,Nei
36-40,4,4,"in-house, offentlig/kommunal sektor",Rogaland,frontend,1.000 - 10.000,640000,Nei,Ja
31-35,3,6,"in-house, privat sektor",Nordland,fullstack,10 - 50,640000,Nei,Ja
21-25,4,1,"in-house, privat sektor",Oslo,backend,100 - 500,640000,Nei,Nei
26-30,5,0,konsulent,Oslo,backend,100 - 500,640000,Nei,Ja
26-30,5,2,konsulent,Vestland,data science,100 - 500,640000,Ja,Nei
26-30,5,1,konsulent,Oslo,frontend,100 - 500,640000,Nei,Ja
31-35,9,1,"in-house, privat sektor",Troms og Finnmark,fullstack,100 - 500,640000,Nei,Nei
36-40,5,3,"in-house, offentlig/kommunal sektor",Oslo,fullstack,100 - 500,640000,Nei,Ja
26-30,5,0,konsulent,Møre og Romsdal,fullstack,under 10,640000,Ja,Nei
26-30,5,1,konsulent,Oslo,backend,100 - 500,642000,Nei,Ja
26-30,6,2,konsulent,Oslo,fullstack,1.000 - 10.000,642600,Nei,Nei
31-35,3,2,"in-house, privat sektor",Oslo,backend,50 - 100,643000,Nei,Nei
26-30,3,2,"in-house, privat sektor",Oslo,databaser,100 - 500,644000,Nei,Nei
31-35,4,0,"in-house, privat sektor",Viken,devops,10 - 50,645000,Nei,Ja
26-30,5,4,"in-house, privat sektor",Vestland,fullstack,100 - 500,645000,Nei,Nei
31-35,3,2,konsulent,Trøndelag,backend,100 - 500,645000,Ja,Nei
26-30,5,3,"in-house, privat sektor",Trøndelag,data science,100 - 500,648000,Nei,Nei
21-25,2,1,konsulent,Rogaland,backend,1.000 - 10.000,650000,Ja,Ja
21-25,5,1,konsulent,Oslo,databaser,1.000 - 10.000,650000,Nei,Ja
21-25,5,2,konsulent,Oslo,frontend,1.000 - 10.000,650000,Ja,Nei
21-25,3,2,"in-house, privat sektor",Oslo,fullstack,1.000 - 10.000,650000,Nei,Nei
21-25,6,1,konsulent,Oslo,fullstack,1.000 - 10.000,650000,Ja,Ja
21-25,3,4,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,650000,Nei,Nei
21-25,5,1,konsulent,Trøndelag,fullstack,1.000 - 10.000,650000,Nei,Nei
26-30,3,5,"in-house, privat sektor",Oslo,automatisering,1.000 - 10.000,650000,Nei,Nei
26-30,4,3,konsulent,Rogaland,devops,1.000 - 10.000,650000,Ja,Ja
26-30,3,3,"in-house, offentlig/kommunal sektor",Oslo,fullstack,1.000 - 10.000,650000,Nei,Ja
26-30,5,0,"in-house, privat sektor",Vestland,fullstack,1.000 - 10.000,650000,Nei,Ja
26-30,3,1,konsulent,Oslo,fullstack,1.000 - 10.000,650000,Ja,Ja
26-30,3,3,konsulent,Oslo,programvare,1.000 - 10.000,650000,Nei,Ja
31-35,6,15,"in-house, offentlig/kommunal sektor",Vestland,backend,1.000 - 10.000,650000,Nei,Ja
31-35,3,2,"in-house, offentlig/kommunal sektor",Oslo,backend,1.000 - 10.000,650000,Nei,Nei
31-35,3,4,"in-house, privat sektor",Vestfold og Telemark,frontend,1.000 - 10.000,650000,Nei,Nei
31-35,3,3,"in-house, privat sektor",Vestfold og Telemark,fullstack,1.000 - 10.000,650000,Nei,Nei
31-35,3,4,"in-house, privat sektor",Vestfold og Telemark,fullstack,1.000 - 10.000,650000,Nei,Ja
31-35,6,5,"in-house, offentlig/kommunal sektor",Oslo,UX / design,1.000 - 10.000,650000,Nei,Nei
36-40,7,15,"in-house, privat sektor",Oslo,ingen av disse,1.000 - 10.000,650000,Ja,Nei
41-45,,20,"in-house, privat sektor",Viken,ingen av disse,1.000 - 10.000,650000,Ja,Nei
21-25,3,3,"in-house, privat sektor",Møre og Romsdal,backend,10 - 50,650000,Nei,Nei
21-25,5,0,konsulent,Oslo,data science,10 - 50,650000,Ja,Ja
21-25,3,1,"in-house, privat sektor",Agder,frontend,10 - 50,650000,Nei,Ja
21-25,5,1,konsulent,Trøndelag,frontend,10 - 50,650000,Ja,Ja
21-25,5,1,"in-house, privat sektor",Oslo,fullstack,10 - 50,650000,Nei,Ja
26-30,5,1,"in-house, privat sektor",Vestland,app,10 - 50,650000,Ja,Ja
26-30,3,2,"in-house, privat sektor",Vestfold og Telemark,frontend,10 - 50,650000,Nei,Ja
26-30,5,2,"in-house, privat sektor",Vestland,frontend,10 - 50,650000,Nei,Nei
26-30,3,2,konsulent,Rogaland,frontend,10 - 50,650000,Ja,Ja
26-30,2,10,konsulent,Oslo,fullstack,10 - 50,650000,Nei,Nei
26-30,3,9,"in-house, offentlig/kommunal sektor",Troms og Finnmark,fullstack,10 - 50,650000,Nei,Nei
26-30,3,10,"in-house, privat sektor",Oslo,UX / design,10 - 50,650000,Ja,Nei
31-35,3,0,"in-house, privat sektor",Trøndelag,app,10 - 50,650000,Nei,Ja
31-35,3,6,"in-house, privat sektor",Oslo,data science,10 - 50,650000,Nei,Nei
31-35,5,2,"in-house, privat sektor",Oslo,frontend,10 - 50,650000,Ja,Ja
31-35,2,0,"in-house, privat sektor",Vestland,frontend,10 - 50,650000,Nei,Ja
31-35,3,1,"in-house, privat sektor",Trøndelag,fullstack,10 - 50,650000,Nei,Ja
31-35,3,6,"in-house, privat sektor",Viken,fullstack,10 - 50,650000,Nei,Nei
31-35,5,10,"in-house, privat sektor",Oslo,fullstack,10 - 50,650000,Nei,Ja
31-35,4,6,"in-house, privat sektor",Viken,ledelse/administrativt,10 - 50,650000,Nei,Ja
36-40,3,12,"in-house, privat sektor",Møre og Romsdal,fullstack,10 - 50,650000,Nei,Nei
56-60,5,25,"in-house, privat sektor",Oslo,automatisering,10 - 50,650000,Ja,Nei
21-25,5,2,konsulent,Oslo,backend,100 - 500,650000,Nei,Nei
21-25,5,0,konsulent,Oslo,frontend,100 - 500,650000,Nei,Nei
26-30,3,3,"in-house, privat sektor",Vestfold og Telemark,backend,100 - 500,650000,Nei,Nei
26-30,5,1,"in-house, privat sektor",Vestland,fullstack,100 - 500,650000,Nei,Ja
26-30,5,2,konsulent,Oslo,fullstack,100 - 500,650000,Nei,Nei
31-35,3,3,"in-house, privat sektor",Oslo,frontend,100 - 500,650000,Ja,Nei
31-35,5,0,"in-house, privat sektor",Oslo,fullstack,100 - 500,650000,Nei,Ja
41-45,,10,"in-house, offentlig/kommunal sektor",Oslo,ingen av disse,100 - 500,650000,Nei,Ja
26-30,3,6,"in-house, privat sektor",Troms og Finnmark,backend,50 - 100,650000,Nei,Nei
26-30,5,1,"in-house, privat sektor",Viken,frontend,50 - 100,650000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Vestland,fullstack,50 - 100,650000,Nei,Ja
31-35,1,6,konsulent,Agder,frontend,50 - 100,650000,Nei,Nei
36-40,3,6,"in-house, privat sektor",Møre og Romsdal,frontend,50 - 100,650000,Ja,Nei
41-45,4,3,"in-house, privat sektor",Viken,app,50 - 100,650000,Nei,Nei
51-55,3,15,"in-house, privat sektor",Møre og Romsdal,fullstack,50 - 100,650000,Nei,Nei
21-25,5,1,konsulent,Oslo,UX / design,500 - 1.000,650000,Nei,Ja
26-30,3,2,"in-house, privat sektor",Oslo,app,500 - 1.000,650000,Nei,Nei
26-30,3,0,"in-house, privat sektor",Oslo,fullstack,500 - 1.000,650000,Ja,Ja
